date_time,tweet,splchar1,splchar2,is_sarcastic
27-03-2021 14:07,b'Excited to share the latest addition to my #etsy shop: Pearl Snap Button Shirt | Gap | Cowboy Shirt | 70s | Western\xe2\x80\xa6 https://t.co/bZW0cT6XBW',b'RF_Vintage',"b'North Carolina, USA'",0
27-03-2021 14:06,b'Excited to share the latest addition to my #etsy shop: Vintage Jeans | Wrangler Jeans | High Waist Jeans | 90s | Wr\xe2\x80\xa6 https://t.co/tZhhDvG5tv',b'RF_Vintage',"b'North Carolina, USA'",0
27-03-2021 12:30,b'With a #Systematic #Investment #Plan (#SIP) you need not #worry about #timing the #market as you can make #small\xe2\x80\xa6 https://t.co/xtEZPRnXuQ',b'sisbl_in',b'Kolkata',0
27-03-2021 09:29,b'Regular expressions - I have just completed this room! Check it out:  https://t.co/6wZi0ULCIW #tryhackme #regular e\xe2\x80\xa6 https://t.co/ogP3NxwG1E',b'careydcooper5',b'Isle of Man',0
27-03-2021 08:05,b'Well she said yes. I have a problem as it is not #regular.\nI spoke to her and i told her not to worry its only her\xe2\x80\xa6 https://t.co/KjgGcX33ae',b'dustwax',b'',0
27-03-2021 05:27,b'Can\xe2\x80\x99t wait to get top in a Bentley #regular',b'godfoggy',b'Foggyland',0
27-03-2021 01:00,b'New PNG Today - Triangle Square Angle Red #square #regular polygon #point  https://t.co/41lvfujHiv Visit our site! https://t.co/hcsPjQHT0O',b'clipartpngfree',b'',0
27-03-2021 00:31,b'Love it when my regular table at my #localcoffeeshop is available. Looking forward to settling in and making some s\xe2\x80\xa6 https://t.co/xvwoDr4sa8',b'laffarsmith',b'Western Australia',0
26-03-2021 22:18,b'BREAKING NEWS!!! PREORDERING over $100 and receive 1 BOTTLE of BBQ SAUCE of your choice. #regular #medium #hot\xe2\x80\xa6 https://t.co/dDeQyvT1oX',b'DGREENSBBQ',b'',0
26-03-2021 21:14,"b""Yeah agree but that needs to happen and get buy in.\nIt's got to be good for the passion/hobby\n#safer\n#regular\xe2\x80\xa6 https://t.co/WqG3v0nAGJ""",b'lessismoremike',b'',0
26-03-2021 19:50,b'S/O to @thefixxzifm @PdTheGhost @LadyKuda for spinning #Regular',b'MeetLuminous',"b'Bulawayo, Zimbabwe'",0
26-03-2021 17:54,"b'#Regular exercise boosts brain health, and a fit brain is generally able to learn, think and remember better. But a\xe2\x80\xa6 https://t.co/7raWlrQHDw'",b'gauri_02',b'Pimpari',0
26-03-2021 17:29,"b""@SEBI_India Why can't I #trade or #invest without stock broker\n\nEvery industry as an option to deal with or without\xe2\x80\xa6 https://t.co/uMTvYsmvQz""",b'GaddamediMahesh',b'Mumbai',0
26-03-2021 15:58,"b""picking up the phone, I'm knowing yous home lately\n#regular #stalking #visionoftypeofbody #34firstdates #facetimenon #bodylistener""",b'Saritopie',b'',0
26-03-2021 15:02,b'The OVIO Cup comes in two sizes: #small and #regular. Because we know there\xe2\x80\x99s one size fits all in life. \xf0\x9f\x92\x97\n\nHave yo\xe2\x80\xa6 https://t.co/Bbe0yTiRhT',b'OVIO_Official',"b'Leeds, England'",0
26-03-2021 14:07,b'EnglishVersion\xe2\x9d\xa3\xef\xb8\x8f\xf0\x9f\x91\x8d\xf0\x9f\x91\x8d\xf0\x9f\x91\x8d\xe2\x9c\xa8\n#Regular\n#YUTA #\xe6\x82\xa0\xe5\xa4\xaa #\xe4\xb8\xad\xe6\x9c\xac\xe6\x82\xa0\xe5\xa4\xaa #\xec\x9c\xa0\xed\x83\x80 #NCT127\xc2\xa0#OurRegularDJYuta #MemorableYutaFridays\xe2\x80\xa6 https://t.co/j0bcpwPZlN',b'26_yuu2',b'',0
26-03-2021 13:24,b'#loving this... becoming a #regular thing now https://t.co/zCLLc36xyF',b'ksoildude9',b'',0
26-03-2021 10:15,b'Happy #Friday did you #know we give over 30% of our stock to #local #charities on a #regular basis. We like to\xe2\x80\xa6 https://t.co/7NhD3ye8EG',b'DVD_locker',"b'London, England'",0
26-03-2021 07:35,b'Virat with the coin\nEngland captain asks head\nAnd England win the toss\n#regular #INDvENG #toss',b'im_mughil',"b'Chennai,tamilnadu'",0
26-03-2021 04:54,b'#\xe0\xa4\xa8\xe0\xa4\xbf\xe0\xa4\xaf\xe0\xa4\xae\xe0\xa4\xbf\xe0\xa4\xa4_\xe0\xa4\x95\xe0\xa4\x82\xe0\xa4\xaa\xe0\xa5\x8d\xe0\xa4\xaf\xe0\xa5\x82\xe0\xa4\x9f\xe0\xa4\xb0_\xe0\xa4\xb6\xe0\xa4\xbf\xe0\xa4\x95\xe0\xa5\x8d\xe0\xa4\xb7\xe0\xa4\x95_\xe0\xa4\xad\xe0\xa4\xb0\xe0\xa5\x8d\xe0\xa4\xa4\xe0\xa5\x80  #regular vacancy in raj @GovindDotasra @Sos_Sourabh @ashokgehlot51 @RajCMO',b'Surende94037052',b'',0
26-03-2021 03:47,b'#regular computer teacher https://t.co/oGuCwZ2mLy',b'BhamuChand',b'Sikar',0
25-03-2021 14:32,b'\xf0\x9f\x93\xb7 Fresh #designer only at @angelique.loft.boutique #customaed clothing for your #regular &amp; #luxurious #taste book y\xe2\x80\xa6 https://t.co/vsOKM9KXjg',b'AmilioCeo',b'Montreal',0
25-03-2021 14:32,b'Fresh #designer only at @angelique.loft.boutique #customaed clothing for your #regular &amp; #luxurious #taste book you\xe2\x80\xa6 https://t.co/KiYt8lWli7',b'AmilioCeo',b'Montreal',0
25-03-2021 13:25,b'How to Craft a Winning Trading Plan\n\nFor Detail Info: https://t.co/evpJgX7Job\n\n#ThursdayThoughts #IsExhaustingAF\xe2\x80\xa6 https://t.co/DX6nN8cJn0',b'fxtradewin15',b'World Resident ',0
25-03-2021 12:54,"b""Today's profit \xf0\x9f\x92\xb8\xf0\x9f\x8e\xaf\xf0\x9f\x93\x88\n.\n.\n.\n.\n.\n.\n.\n.\n.\n#profit #regular #everyday #forex #forextrading #forexsignals #forextrader\xe2\x80\xa6 https://t.co/K0sL7jXaTG""",b'Jiya63585621',b'',0
25-03-2021 12:00,b'https://t.co/p9KkBLwCFd Deep Packet Inspection with The Enhanced Aho-Corasick Algorithm #regular expression #string matchi',b'IRNCTU',b'',0
25-03-2021 07:07,b'The #Original #DonutShop #Regular #MediumRoast #Coffee 18 ct. #Keurig #Kcups BB 10/21! #bargains #beverages\xe2\x80\xa6 https://t.co/PJaQrqkuAO',b'2014fabfinds',"b'Portland, OR'",0
25-03-2021 03:09,"b'March 22, 2021 order \xf0\x9f\x92\x9e\n\nThank you to one of our certified #PutoGLovers , Ms. #TriciaCo, for ordering 2 #Tubs or 24\xe2\x80\xa6 https://t.co/O9qPdYAWZa'",b'weirdymoonlight',b'PH',0
25-03-2021 02:27,"b""So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset\xe2\x80\xa6 https://t.co/x3hGJ3jxBU""",b'KarrieTashjian',"b'Marana, AZ'",0
25-03-2021 00:00,b'@PalanteHBOMax I am listo \xe2\x9c\x85 for the event de ma\xc3\xb1ana! Pero in case you wanna hear my \xf0\x9f\x87\xa6\xf0\x9f\x87\xb7 accent... look \xf0\x9f\x91\x80 up &amp; press\xe2\x80\xa6 https://t.co/pvZi3xVUU4',b'gaston_films',"b'Los Angeles, CA'",0
24-03-2021 13:35,b'I\xe2\x80\x99m riding my bike man \n\nBe right there \n\n...oh I\xe2\x80\x99m here. Lol \n\n#Regular https://t.co/2dqDOVjjlh',b'KIERAANDROSE',"b'St Petersburg, FL'",0
24-03-2021 10:54,"b'The #British #Army is #recruiting now and always: #Regular and #Reserve, #Officer and #Soldier. \xf0\x9f\x87\xac\xf0\x9f\x87\xa7 \n\nDetails may ch\xe2\x80\xa6 https://t.co/XtOTtxPhyy'",b'hq_recruiting',"b'Upavon, England'",0
24-03-2021 09:59,"b""\xe3\x80\x90New Arrival\xe3\x80\x91 Atolo Pen's Chinese Literary Copy Book just arrival! Most of them are classic poems. Check it out!\xe2\x80\xa6 https://t.co/gjWfvwwh2g""",b'juspiritTW',"b'\xe6\x96\xb0\xe5\x8c\x97\xe5\xb8\x82\xe6\x96\x87\xe5\x8c\x96\xe8\xb7\xaf\xe4\xb8\x80\xe6\xae\xb5299\xe8\x99\x9f3\xe6\xa8\x93, TW'",0
24-03-2021 04:15,"b""Mark:\xe1\xb4\xb5'\xe1\xb5\x90 \xe1\xb5\x83\xe1\xb6\xa0\xca\xb3\xe1\xb5\x83\xe1\xb6\xa6\xe1\xb5\x88 \xe1\xb5\x92\xe1\xb6\xa0 \xca\xb0\xe1\xb5\x89\xe1\xb6\xa6\xe1\xb5\x8d\xca\xb0\xe1\xb5\x97\xcb\xa2 \xf0\x9f\xa5\xba\nSM: Ok. Now, get on those platforms.\n\n#MarkLee #MARK #NCT #NCT127 #NCTU #NCTDREAM\xe2\x80\xa6 https://t.co/N7h0ij7RnL""",b'pastelbpx',b'MARK me in your heart',0
