date_time,tweet,splchar1,splchar2,is_sarcastic
27-03-2021 15:10,b'@Lowy007 Oh haha. #sarcasm. Yes 100% a sequel man',b'MultimediaHQ',b'HQ: Zephyr One \xf0\x9f\x9b\xa9',1
27-03-2021 15:00,b'GET READY! 4/20 IS ABOUT TO BECOME 24/7 so follow @irishwicklegit &amp; @clubhousemanagement\n\n#keepitmedicinal #memes\xe2\x80\xa6 https://t.co/UJDax5qivt',b'KeepItMedicinal',b'',1
27-03-2021 14:59,b'I feel so bad that Nygard didn\xe2\x80\x99t get bail! Did that sound sincere? #Sarcasm',b'CramerMarni',b'Brandon Manitoba ',1
27-03-2021 14:44,"b""He doesn't have a dpoy award for MJ was better #sarcasm https://t.co/2JYkA7BEKS""",b'2KEW13',"b'\xc3\x9cT: 43.8280419,-79.5607157'",1
27-03-2021 14:39,b'I bet y\xe2\x80\x99all aren\xe2\x80\x99t spending your little break better than I am #sarcasm #funny #hilarious #Killme #\xd9\x85\xd9\x82\xd8\xa7\xd8\xb7\xd8\xb9\xd8\xa9_\xd9\x85\xd9\x86_\xd9\x8a\xd8\xb4\xd8\xa7\xd8\xb1\xd9\x83_\xd9\x81\xd9\x8a_\xd8\xa7\xd9\x84\xd9\x83\xd8\xb1\xd8\xb3\xd9\x85\xd8\xb3',b'E_7sen',b'kuwait ',1
27-03-2021 14:36,"b'@BWilliLiou @shuli_ren @CathieDWood @bopinion Better pay 0,7% for the theme of ""unprofitable tech""? Can be bought a\xe2\x80\xa6 https://t.co/1HXo3eOIZP'",b'ScriptumFin',b'Nothing here is advice',1
27-03-2021 14:01,"b""I am not a bad boy \n\nBut if you say ' Chutiya gaali h '\n\nTo gaaliya sunega tu bsdk!! \n\nIt's an emotion bro ....\n\n#sarcasm\n#indianmemes""",b'sagartic_',b'',1
27-03-2021 13:59,"b'@LeaderMcConnell lied, again. Call me shocked. Republicans whole platform is gaslighting!\n\nWow. #sarcasm https://t.co/3lsPwgleHN'",b'OshetJimmy',b'',1
27-03-2021 13:52,b'@danorlovsky7 The XFL trounces the shit out if it!!!\n\n#sarcasm',b'alack007',b'',1
27-03-2021 13:47,"b""Come on stop it. I HAVE TO have a title for the property or vechicals I own. That's going too far.  The state doesn\xe2\x80\xa6 https://t.co/691BdikAYO""",b'jay23simon',"b'Grand Rapids, MI'",1
27-03-2021 13:39,"b""@bopinion Unlove for passive turned into a misguided love for #ARK? Cathie's only feat has been mimicking this reta\xe2\x80\xa6 https://t.co/OXlVT8UNV4""",b'ScriptumFin',b'Nothing here is advice',1
27-03-2021 13:36,"b""I have to register my car?? Get out of here. It's not the state's business to know which cars I own. #freedom #sarcasm""",b'jay23simon',"b'Grand Rapids, MI'",1
27-03-2021 13:33,b'Why do I have to stop at the stop sign? I can do what I want. #freedom #sarcasm',b'jay23simon',"b'Grand Rapids, MI'",1
27-03-2021 13:32,"b""I don't need a license from the state to drive a car. I already know how to drive. The state can't tell me what to do. #freedom #sarcasm""",b'jay23simon',"b'Grand Rapids, MI'",1
27-03-2021 13:26,b'@ChrisThinkbiker @UK_UNIFICATION All jokes aside\xe2\x80\xa6\xe2\x80\xa6 we shouldn\xe2\x80\x99t be taking advantage of the mentally handicapped.\xe2\x80\xa6 https://t.co/UDb00D3He4',b'JustMeDomB',"b'Cornwall,England.'",1
27-03-2021 13:22,b'@BaseballAmerica Yikes 13 walks? Overrated!! \n\n#sarcasm',b'_PumpTheBrakes',b'',1
27-03-2021 13:20,b'One sided love ftw guys woooo! #sarcasm',b'Gamer_Gurl99',b'United States',1
27-03-2021 13:17,"b'@TG22110 I do use an emotional, butni have used\n#sarcasm'",b'GINGERKING711',b'my wheelhouse',1
27-03-2021 13:10,b'BREAKUPS AND #SARCASM https://t.co/LGrjnIfWzQ #breakup #love https://t.co/Nfo7MsvtQf',b'alegnamedia',b'NC',1
27-03-2021 13:09,"b""@Chrysler That doesn't seem like a feature that will cause accidents at all!\n\n#sarcasm. #deadlyvehiclefeatures""",b'nobodyzhome',b'',1
27-03-2021 12:46,"b'@thehill Wow this is a big scandal #Sarcasm, wonder if Trump was president if he would have been able to get away w\xe2\x80\xa6 https://t.co/Xc4eTDXy3I'",b'AndersWian',b'',1
27-03-2021 12:40,"b""@TheRealPBarry I'm so shocked that a Liberal MP turned out to be a disgusting, misogynistic troll. Who would have i\xe2\x80\xa6 https://t.co/b2npzmJ1OA""",b'FeliceJacka',"b'Deakin University, Australia'",1
27-03-2021 12:34,"b'It\'s said that #sarcasm is the lowest form of #wit. To that I say ""No, really? Hey, somebody give this person a #Nobel #peace #prize!""'",b'MyWitsEndTweet',b'',1
27-03-2021 12:22,b'Note how impressed his chums are that he can sign his name. What a clever boy!\n#sarcasm https://t.co/hBzvj1Zce6',b'onewendy',b'Europe',1
27-03-2021 12:09,b'@AyoCaesar @UkcheeseCake420 Women\xe2\x80\x99s day was sooooo last week.  \n\nLiterally. \xf0\x9f\x98\xb3\xf0\x9f\x98\xa1\n\n#sarcasm',b'steve334455',b'',1
27-03-2021 12:02,"b""'Compose Brief Tweets.'\nEnroll in my next class now! \xf0\x9f\x98\x85\n#sarcasm""",b'RaiSwatiRai',"b'For now Nagaland, else Dilli!'",1
27-03-2021 11:52,b'100 crore target is not possible sir \nAs night curfew along with hotel and bar are closed.\n#MumbaiPolice  to\xe2\x80\xa6 https://t.co/TsejqI3uLJ',b'shallykunwar',b'delhi',1
27-03-2021 11:51,b'Peacock has now edited their own name from the WWE library. The vulgar profanity it contains did not align with NBC\xe2\x80\xa6 https://t.co/L8IYAxd5SA',b'SpotsHigh',"b'Parts Unknown, Albany, NY'",1
27-03-2021 11:47,b'The new $ICX *Summoning Magnate is working smoothly. #justsayin \nP.S- Powered by GCS\xf0\x9f\xa5\xaa with added extra *KIMCHI prem\xe2\x80\xa6 https://t.co/QMly8AIUrG',b'syktjpaul',"b'Earth, MilkyWay Galaxy. \xf0\x9f\x8c\x8c\xf0\x9f\xa7\xac\xf0\x9f\xa7\xa0'",1
27-03-2021 11:34,"b'@davidtwilby Haha, sounds like a very legitimate piece of feedback \xf0\x9f\xa4\x94 #sarcasm'",b'SandyButchers',b'',1
27-03-2021 11:21,b'@Glostermeteor @AyoCaesar @UkcheeseCake420 @ASPolice I so wish I had added #sarcasm to my tweet. \xf0\x9f\x99\x84\xf0\x9f\xa4\xa3',b'steve334455',b'',1
27-03-2021 11:11,b'I was happy for a minute \xf0\x9f\x98\x83\xf0\x9f\xa4\xad\n\n#funny #meme #fanpage #sarcasm #fandom #lol #abcxyz #food #books #photography\xe2\x80\xa6 https://t.co/Tpu8HefTcj',b'ChowMinanFrens',"b"" In ur grandma's bathroom""",1
27-03-2021 11:08,b'I should of added #sarcasm to the tweet https://t.co/YO8bFAgZI7',b'Havenaar64',b'doodaczechville/its happening ',1
27-03-2021 11:02,b'here goes my lovable and competent govt :))) #sarcasm',b'yshfly5324',b'\xf0\x9f\x87\xb5\xf0\x9f\x87\xad',1
27-03-2021 11:00,"b'Callon is back, #sarcasm intact. Check out the #Allegiance sample on #bookbuzzr #mustread #fantasy #dragon - https://t.co/FI18RHQ5W8'",b'a_wrighton',"b'Los Angeles, CA'",1
27-03-2021 10:52,b'Dit is #sarcasm \xf0\x9f\x99\x84\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb https://t.co/nqpzzBwdzW',b'caelisangelus',b'',1
27-03-2021 10:47,"b'So fully adopt Dem talking points and Dem nomenclature, but reject any from GOP even if accurate. Got it. Seems lik\xe2\x80\xa6 https://t.co/CiEF1TJjxH'",b'thankfulphil',b'',1
27-03-2021 10:47,"b""I'm soooo glad @GovJanetMills and #maine decided to replace one day of testing (#sat) with 5 days of testing (#nwea\xe2\x80\xa6 https://t.co/aZjkW7jCNj""",b'benjaminmurph55',"b'Maine, USA'",1
27-03-2021 10:42,b'I FOUND A LOOPHOLE! #sarcasm https://t.co/oXS8zRzCtV',b'Starshine_00',b'',1
27-03-2021 10:38,b'Grab this funny sarcastic quote Grungy workout t-shirt\xf0\x9f\x92\xaa\xf0\x9f\x8e\xbd\xf0\x9f\x8f\x8b\xef\xb8\x8f\nhttps://t.co/lwkfPwIDyZ\n#Trending #workout #quote\xe2\x80\xa6 https://t.co/MSNFtLUGmx',b'Sportfa20104112',b'',1
27-03-2021 10:10,"b""Real men don't give presents they just show their presence! -Bhuvan Bam\n#darshantweets #twwitieduniya #tweetasm\xe2\x80\xa6 https://t.co/pkGA5oIB7N""",b'Darshan90408513',b'India',1
27-03-2021 09:37,b'I was looking forward to an escalation and an opportunity to return\nto the days when we could burn the odd witch no\xe2\x80\xa6 https://t.co/1io4fHk3SV',b'jimmy_weasel',"b'South East, England'",1
27-03-2021 09:29,"b'When you\xe2\x80\x99re explaining things to me, remember that you\xe2\x80\x99re better than me, so please be more condescending. #Sarcasm'",b'5eDnD',b'West Coast',1
27-03-2021 09:10,"b""Can't think of what to do with all those spam emails?\xc2\xa0\xc2\xa0Is sending them to your spam folder just not enough?\xc2\xa0\xc2\xa0Get re\xe2\x80\xa6 https://t.co/eG95i6oWmY""",b'shadowconn',"b'Indianapolis, IN'",1
27-03-2021 08:40,b'@ukhomeoffice Because the Home Office fact checking themselves will be 100% truthful #sarcasm #PritiExpenses\xe2\x80\xa6 https://t.co/zwPSPjTcf3',b'Amwolfe19',b'',1
27-03-2021 08:20,"b""That's why #investing direct and paying the #advisor seperately is better. At least you Don't lose,\nAnything!\xe2\x80\xa6 https://t.co/MmsCCumO6m""",b'DeepakRKhemani',b'Mumbai',1
27-03-2021 08:14,"b""@RanvirShorey Ppl its' lie down' wala lie. \n#Sarcasm \xf0\x9f\x98\x82""",b'devgandhi1988',b' \xe0\xaa\xb8\xe0\xab\x8d\xe0\xaa\xb5\xe0\xaa\xb0\xe0\xab\x8d\xe0\xaa\x97 \xe0\xaa\xae\xe0\xaa\xbe',1
27-03-2021 08:00,"b""Retweet the hell out of this post &amp; help get me to 10K (I'm nowhere near!) - desperate &amp; need gratuitous attention\xe2\x80\xa6 https://t.co/58mTjF4WVh""",b'daddybbear1',b'Portsmouth (can travel)',1
